RA	DE	NormHalpha	RVHalpha	SigmHalpha	Norm[NII]6548	RV[NII]6548	Sigm[NII]6548	Norm[NII]6584	RV[NII]6584	Sigm[NII]6584	Norm[SII]6717	RV[SII]6717	Sigm[SII]6717	Norm[SII]6731	RV[SII]6731	Sigm[SII]6731
73.755	17.3	620.8	-271.7989882	16.20291555	57.69	-275.4350446	15.6942824	173.1	-251.2004667	15.55946113	175.5	-229.9774247	15.30456254	129.8	-256.1883203	15.23717487
69.732	17.3	57.19	-271.2965027	5.109752303	3.637	-261.3794331	42.54094041	10.91	-237.219585	42.29583403	16.05	-229.3971245	14.43977788	13.93	-255.6093133	14.37231943
56.322	17.3	81.55	-277.7374535	4.85558027	8.331	-286.2400098	12.10480703	24.99	-261.9479848	11.97375935	19.91	-242.7886671	8.10683945	7.941	-269.0155519	8.025765677
17.433	17.3	10.21	-454.2012336	37.28907542	10.02	-297.96065	9.316904814	30.05	-273.6063096	9.18055739	6.004	-210.6043264	72.98697189	3.551	-236.8583949	72.81734929
154.215	15	26.64	-301.8567587	29.35966947	2.536	-287.293036	86.25046688	7.609	-262.9954124	85.78256273	6.439	-232.7003716	19.55218504	5.378	-258.9051992	19.48257284
152.874	15	23.2	-292.5836167	33.08841371	3.81	-280.7459597	46.61598806	11.43	-256.4831451	46.35087104	13.03	-229.3971245	47.72274457	-2.722	-255.6093133	47.60573181
147.51	15	48.36	-276.0929554	8.262839679	6.098	-295.2594087	21.57990312	18.29	-270.91943	21.42783158	13.82	-249.1273306	16.30126665	11.05	-275.2955507	16.23369681
139.464	15	88.55	-278.6510636	12.6302062	10.43	-277.7242321	12.86886274	31.29	-253.4774832	12.73773244	21.75	-238.8158428	2.078323115	17.01	-265.007042	1.812417281
138.123	15	179.6	-285.1833754	17.28828508	23.58	-291.1388711	3.4968991	70.73	-266.8208002	3.239925685	48.74	-235.5125956	9.886726749	36.17	-261.7111561	9.813095934
135.441	15	400.7	-285.0920144	14.34771313	37.27	-284.729146	6.911426845	111.8	-260.4451539	6.757198613	72.35	-239.9764431	6.298940414	51.34	-266.209595	6.203601258
134.1	15	437.3	-292.3552142	23.96465637	28.74	-295.4425437	25.20625809	86.21	-271.1015914	25.04028524	69.29	-247.1185992	19.11913476	45.18	-273.2912958	19.04989698
132.759	15	644.7	-288.243969	15.38631072	49.57	-288.3460623	9.476977874	148.7	-264.04284	9.341259216	94.49	-243.8599905	10.72771736	54.3	-270.0399489	10.65627623
130.077	15	1423	-288.243969	12.84444762	105.6	-289.3075211	10.00915023	316.8	-264.999187	9.875177309	231.8	-242.3422823	4.426299943	147.7	-268.5256229	4.299949555
128.736	15	1909	-289.8884671	11.6531397	107.4	-290.1316286	8.825700275	322.1	-265.818913	8.687083202	231.2	-243.0118594	7.2708578	155.4	-269.1937079	7.184335381
127.395	15	3285	-288.9291766	6.937268667	189.4	-290.4978986	6.871669611	568.1	-266.1832356	6.716961121	367	-244.5742061	4.219607928	270.6	-270.7525729	4.087845642
120.69	15	6168	-282.6252673	5.976225522	290.5	-284.546011	5.901280151	871.5	-260.2629926	5.731865257	500.9	-237.9677117	2.213108977	377.4	-264.1608011	1.964867836
119.349	15	5780	-278.8337856	5.976225522	246.3	-282.1194722	9.024259294	739	-257.849355	8.886624633	487	-237.43205	7.739527978	338.4	-263.6263331	7.656257272
118.008	15	6978	-273.3521253	6.547299048	355.4	-276.5338546	7.299945095	1066	-252.2934346	7.150003863	662.1	-230.9594711	2.89542679	484	-257.1681783	2.707550995
116.667	15	4404	-263.9876224	11.94191968	174.5	-268.018077	12.46241438	523.6	-243.822933	12.33138926	340.9	-223.1923764	13.66030712	245	-249.4629315	13.59256726
115.326	15	1087	-259.5109331	32.25046215	44.21	-279.1435284	41.73066087	132.6	-254.8892335	41.48949483	107.8	-236.9410268	38.82192425	81.01	-263.1364041	38.72230146
113.985	15	726.9	-266.3630085	41.1091184	40.62	-289.2159536	36.81915444	121.9	-264.9081063	36.60152614	104.2	-245.7348064	33.81004443	75.16	-271.9105868	33.71964666
112.644	15	879.3	-250.1007497	20.77355605	37.49	-257.9456518	27.92792541	112.5	-233.8040602	27.75060004	115.3	-211.1399881	17.62161335	81.82	-237.4374019	17.55344606
111.303	15	1553	-243.5227574	15.79720888	83.02	-246.8659841	15.02178817	249.1	-222.7833	14.88823412	217.8	-202.4354854	12.70878321	136.2	-228.7077581	12.64036273
109.962	15	2499	-246.9031145	12.72228818	133.2	-248.6515504	10.79193481	399.7	-224.5593729	10.65970046	366.6	-202.0337391	7.69786725	259.9	-228.3069071	7.614328961
108.621	15	1517	-255.4453684	18.54691678	90.04	-257.6251655	12.13250248	270.1	-233.4852778	12.00146064	245.1	-212.166673	7.86346022	167.1	-238.4172598	7.780962651
